"Country","LGBTQ+ Rights (0-5)","Abortion Access","Hate Crime Protections","Remote Work Pathway","Min Income (USD)","Processing Time","Path to PR/Citizenship","Skilled Worker Pathway","Job Offer Required?","Skilled Processing","Protection/Heritage Pathway","First Step"
"Portugal","5/5","Protected by Law (up to 12 weeks)","Comprehensive protections for sexual orientation, gender identity, race","D7 Passive Income Visa","€920/month (~$950)","6+ months","5 years to PR;10 years to citizenship (2025 reform)","EU Blue Card / Skilled Worker","Yes","4-8 weeks","EU Asylum / Grandparent citizenship","Lodge asylum with SEF or citizenship at consulate"
"Spain","5/5","Protected by Law (up to 14 weeks)","Strong EU Framework protections; sexual orientation, gender identity, race","Digital Nomad Visa (Law 28/2022)","€2,762/month (~$3,000)","20 business days","5 years to PR; 10 years to citizenship","EU Blue Card / Highly Qualified","Yes","20 days to 2 months","EU Asylum / Law of Grandchildren (exile descendants)","Register asylum with police or heritage docs at consulate"
"Germany","4.5/5","Legal on broad grounds (up to 12 weeks)","Strong hate crime legislation; sexual orientation, gender identity, race","Freelance Visa (Freiberufler)","No fixed minimum; prove financial means","6-12 weeks; fast-track 2-3 months","5 years to PR; 5 years to citizenship (2025 reform)","EU Blue Card / Skilled Worker","Yes","6-12 weeks","EU Asylum / Parent citizenship (post-1975 birth)","BAMF asylum or local authority citizenship"
"Mexico","3.5/5","Decriminalized federally 2023; varies by state","Variable by state; federal hate crime recognition 2019","Temporary Resident (Non-Lucrative)","$4,356/month OR $73,389 savings","2-8 weeks (varies)","4 years temp to PR; 5 years PR to citizenship","Temporary Resident with work permit","Yes","4-12 weeks","COMAR asylum / Parent citizenship","Immigration office/COMAR or consulate with parent docs"
"Costa Rica","3/5","Highly Restricted (life/health/rape)","Limited; no specific LGBTQ+ hate crime laws","Rentista Visa","$2,500/month OR $60,000 deposit","3-6 months","3 years to PR; 7 years to citizenship","General Work Permit","Yes","2-4 months","Refugee determination via immigration authority","Submit to Dirección General with UNHCR referral"
"Italy","4/5","Legal on request (up to 90 days)","Protected under national hate crime laws; sexual orientation, gender identity","Digital Nomad Visa","€24,789/year (~$2,065/month)","4-8 weeks","5 years to PR; 10 years to citizenship","EU Blue Card / Nulla Osta","Yes","30-90 days","EU Asylum /Parent/grandparent only (2025 reform)","Questura asylum or consulate citizenship with vital records"
"France","5/5","Constitutional Right (up to 14 weeks)","Comprehensive under national law and EU directives","Talent Passport - Qualified Employee","€39,582/year (~$3,298/month)","2-4 months","4 years to 10-year card; 5 years to citizenship","Talent Passport / EU Blue Card","Yes","2-4 months","EU Asylum / French parent citizenship","Prefecture (OFPRA) asylum or consulate with parent docs"
"Canada","5/5","Legal on request (all stages)","Federal hate crime legislation includes sexual orientation, gender identity","Not applicable","N/A","N/A","N/A","Express Entry (FSW, CEC)","No (points-based)","10-14 months (backlog); standard 6-7 months","IRCC Refugee Status Determination","Port of entry or inland IRCC office claim; IRB hearing"
"Netherlands","5/5","Legal on request (up to 24 weeks)","Comprehensive; sexual orientation, gender identity","Not applicable","N/A","N/A","N/A","Highly Skilled Migrant","Yes","5-10 weeks digital; 90 days standard","IND EU Asylum Procedure","Register at Ter Apel Central Reception; IND interview"
"Australia","4.5/5","Legal (varies by state; mostly on request)","State-level hate crime laws; federal protections for sexual orientation, race","Not applicable","N/A","N/A","N/A","Skilled Independent (189) / Skilled Nominated (190)","No for 189; Yes for 190","8-18 months (189); 9-19 months (190)","Protection Visa via Home Affairs","Lodge online or immigration office; interview"
"New Zealand","4.5/5","Legal on request (up to 20 weeks)","Hate crime protections include sexual orientation, gender identity","Not applicable","N/A","N/A","N/A","Skilled Migrant Category Resident","Yes (accredited employer)","6-12 months","Refugee Status via Immigration NZ","Immigration NZ office or UNHCR referral"
"UK","3.5/5 (rank 22 in 2025)","Legal (up to 24 weeks)","Sexual orientation, race protected; gender identity protections weakening","Not applicable","N/A","N/A","N/A","Skilled Worker Visa (Tier 2)","Yes","3 weeks (outside UK); 8 weeks (inside)","UKVI asylum","Home Office claim; substantive interview"
"Ireland","4.5/5","Legal on request (up to 12 weeks, since 2018)","Comprehensive hate crime legislation; sexual orientation, gender identity","Not applicable","N/A","N/A","N/A","Critical Skills Employment Permit","Yes","8-12 weeks","International Protection Office (IPO)","IPO application; preliminary interview within 5 days"
"Uruguay","4.5/5","Legal on request (up to 12 weeks)","Comprehensive; sexual orientation, gender identity included","Independent Means (Rentista)","$1,500/month passive income","Immediate temp; 6-12 months PR","Immediate PR upon approval; 3-5 years citizenship","General Work Visa","Yes","2-4 months","CONARE Refugee Status Determination","Immigration authority or CONARE"
"Thailand","3.5/5 (Marriage equality Jan 23, 2025)","Legal with restrictions (health/economic/rape, up to 22 weeks)","Limited; Gender Equality Act 2015 covers some discrimination","Elite Visa / Long-Term Resident","Varies ($25,000+ Elite deposit)","4-12 weeks","3-10 years to PR depending on visa","BOI work permit / Non-Immigrant B","Yes","4-8 weeks","Ministry of Interior with UNHCR RSD support","Immigration bureau; UNHCR Bangkok support"
